Episode,Score,Steps,Epsilon,Avg_Loss,Wall_Hits,Coins
1,145.30000000000055,297,0.999,12.019332550529741,139,40
2,30.600000000000108,99,0.998001,46.28260303747774,44,18
3,254.70000000000084,450,0.997002999,37.528334749539695,157,54
4,-91.39999999999999,25,0.996005996001,52.618082199096676,11,2
5,41.80000000000018,86,0.995009990004999,64.6701115120289,33,19
6,647.99999999999,1000,0.994014980014994,43.67529420089722,380,109
7,81.000000000001,350,0.993020965034979,26.883904252733505,150,35
8,-16.79999999999977,100,0.9920279440699441,29.678800501823424,41,13
9,290.29999999999774,553,0.9910359161258742,34.88725400014122,205,63
10,-31.29999999999994,110,0.9900448802097482,31.817410226301714,56,13
11,100.10000000000025,633,0.9890548353295385,47.10574455170835,264,50
12,321.3999999999934,796,0.988065780494209,32.22677399405283,300,77
13,352.09999999999815,469,0.9870777147137147,33.53246013950437,179,66
14,-35.39999999999952,333,0.986090636999001,38.46355535318185,159,24
15,-6.799999999999912,43,0.9851045463620021,57.22097325879474,14,11
16,232.09999999999917,412,0.98411944181564,41.4569120754316,152,51
17,97.70000000000022,111,0.9831353223738244,42.7419514527192,57,26
18,-79.6,16,0.9821521870514506,77.41351449489594,9,3
19,-49.800000000000026,56,0.9811700348643991,56.343038490840364,28,8
20,126.80000000000047,157,0.9801888648295347,52.83183855311886,64,31
21,-527.200000000005,1000,0.9792086759647052,51.33389427280426,508,3
22,54.90000000000052,206,0.9782294672887405,40.73431117789259,94,27
23,380.19999999999413,631,0.9772512378214517,45.44553297710872,253,77
24,354.8999999999984,784,0.9762739865836303,42.39216144595827,352,85
25,201.20000000000118,470,0.9752977125970467,46.92642946040377,192,52
26,273.5999999999936,889,0.9743224148844496,45.42704681014585,365,79
27,-533.5000000000044,1000,0.9733480924695651,45.55623673725128,515,3
28,-506.50000000000387,1000,0.9723747443770956,33.91461314296723,485,3
29,637.2999999999905,1000,0.9714023696327185,36.48577467250824,403,110
30,96.00000000000102,295,0.9704309672630859,31.880175438573804,95,31
31,204.39999999999827,585,0.9694605362958227,30.600362904866536,209,55
32,301.29999999999865,458,0.9684910757595269,40.78842938727166,170,61
33,61.300000000000466,225,0.9675225846837673,34.30847253163655,108,28
34,-169.50000000000006,823,0.9665550620990835,37.03139389242031,397,37
35,-54.800000000000004,13,0.9655885070369844,35.33227040217473,5,5
36,477.39999999999316,1000,0.9646229185299474,40.16244984769821,404,104
37,-2.6000000000000227,66,0.9636582956114175,44.82797197862105,30,13
38,12.000000000002476,1000,0.9626946373158061,34.1526422829628,420,49
39,598.2999999999947,647,0.9617319426784903,48.04701228782972,220,96
40,439.69999999999163,1000,0.9607702107358118,35.38223238182068,367,87
41,369.0999999999964,747,0.959809440525076,31.855052698408585,308,82
42,324.89999999999736,307,0.9588496310845509,28.48755047453343,106,55
43,336.29999999999706,407,0.9578907814534664,33.6615644415122,160,62
44,146.60000000000073,244,0.9569328906720129,28.682701335578667,99,36
45,57.80000000000018,99,0.9559759577813409,29.69288044746476,37,20
46,39.50000000000102,306,0.9550199818235596,30.92356153407128,101,26
