Episode,Score,Steps,Epsilon,Avg_Loss,Wall_Hits,Coins
1,2115.500000000004,251,0.9995,0,95,45
2,489.89999999999895,71,0.9990002500000001,0,31,12
3,527.1999999999978,165,0.9985007498750001,0,64,13
4,1867.300000000008,590,0.9980014995000627,283.1371865210595,239,41
5,2532.300000000018,485,0.9975024987503127,229.545714883706,193,54
6,1086.0999999999988,103,0.9970037475009376,241.06923868123766,38,24
7,4859.300000000006,1000,0.9965052456271871,296.72032152557375,407,100
8,2268.0000000000077,233,0.9960069930043736,230.89968246656426,89,48
9,95.70000000000005,26,0.9955089895078715,393.5443549522987,18,5
10,1220.7999999999986,226,0.9950112350131176,369.59621415940006,67,27
11,3108.8000000000484,1000,0.9945137293956111,356.24327656555175,412,65
12,2759.100000000048,1000,0.9940164725309134,285.7271421279907,409,58
13,1336.099999999999,106,0.993519464294648,268.22580344721956,34,29
14,2792.700000000016,409,0.9930227045625007,292.79384156019586,166,59
15,442.5999999999998,53,0.9925261932102195,474.11127198417233,23,11
16,538.0999999999997,86,0.9920299301136144,444.5593485277752,34,14
17,1768.1999999999944,553,0.9915339151485576,564.8776725230985,266,40
18,958.8999999999955,282,0.9910381481909833,626.0190752178219,130,22
19,3361.600000000097,1000,0.990542629116888,564.8517221679688,384,70
20,2505.000000000097,1000,0.9900473578023296,519.2336340026856,450,53
21,3328.80000000005,848,0.9895523341234285,547.5103619593494,365,71
22,2425.900000000021,547,0.9890575579563669,559.3657760201686,196,52
23,862.6999999999967,256,0.9885630291773887,665.2515174150467,118,21
24,637.2999999999998,87,0.9880687476628001,995.6504006221377,41,15
25,343.90000000000003,43,0.9875747132889687,763.8650455918423,19,10
26,1474.8000000000009,169,0.9870809259323243,796.9985068056005,84,32
27,1614.6999999999953,254,0.9865873854693582,1021.7979321817713,101,35
28,1379.3000000000188,840,0.9860940917766235,868.4840391249884,369,32
29,534.6999999999997,113,0.9856010447307353,1296.781960276376,42,13
30,533.3999999999976,117,0.98510824420837,1080.9463547926682,50,14
31,537.7999999999994,88,0.9846156900862658,1123.6584098122337,35,14
32,2520.0000000000196,568,0.9841233822412228,1197.8768079515914,234,54
33,625.6999999999971,176,0.9836313205501022,1273.5359956567938,68,15
34,3200.400000000058,721,0.9831395048898272,1284.954972138848,276,68
35,230.59999999999985,136,0.9826479351373822,1377.7355979470647,59,8
36,690.9999999999992,63,0.9821566111698136,1576.5914209759424,29,16
37,2118.0000000000045,236,0.9816655328642288,1772.776414256985,86,45
38,3373.1000000000145,890,0.9811747000977967,1862.9057902132527,381,72
39,1559.8000000000015,278,0.9806841127477479,1737.3794956344495,126,34
40,342.80000000000007,51,0.9801937706913741,2789.8859839345896,23,9
41,2158.9000000000387,997,0.9797036738060285,1901.5113341121998,415,48
42,1711.3000000000034,273,0.9792138219691255,2167.7647535163405,115,38
43,335.7999999999998,102,0.978724215058141,3125.212216246362,41,9
44,1352.099999999999,319,0.978234852950612,2751.3835544885137,161,30
45,245.30000000000018,34,0.9777457355241367,2788.2459357766543,14,8
46,2493.9000000000124,403,0.9772568626563747,3832.900713217761,159,53
47,924.7000000000007,175,0.9767682342250465,4189.874239676339,79,21
48,684.1999999999977,110,0.976279850107934,4240.519657759233,49,17
49,3047.4000000000483,715,0.9757917101828801,3949.0380062076597,312,65
50,2354.600000000034,679,0.9753038143277888,3372.772466510666,276,51
51,1173.4000000000003,181,0.974816162420625,3996.2379447136136,87,26
52,836.299999999999,98,0.9743287543394147,3473.1522316446108,40,20
53,1061.5999999999935,276,0.973841589962245,5667.074291726817,109,25
54,3813.8000000000766,966,0.973354669167264,4847.094219958067,397,81
55,1329.599999999999,151,0.9728679918326804,5540.0611062965645,54,30
56,3360.0000000000746,1000,0.972381557836764,5385.618750366211,400,70
57,2743.90000000003,415,0.9718953670578457,5118.38785473927,148,58
58,441.09999999999934,67,0.9714094193743169,5521.512671627215,24,11
59,195.0999999999999,40,0.9709237146646298,4399.8184265136715,11,6
60,948.3999999999928,354,0.9704382528072976,7799.1231727384575,163,22
61,388.09999999999974,84,0.9699530336808939,10974.019901820591,36,10
62,2606.2000000000985,1000,0.9694680571640535,7528.577724365235,438,55
63,0.3000000000012719,1000,0.9689833231354715,7469.993882080078,497,3
64,2796.400000000022,399,0.9684988314739038,7510.452138035518,139,59
65,1676.600000000001,175,0.9680145820581669,6261.170592912947,61,36
66,148.10000000000005,16,0.9675305747671379,7991.453048706055,4,6
67,3072.0000000000437,560,0.9670468094797544,6951.9936580113,221,65
68,3528.7000000000394,509,0.9665632860750146,7206.611050888691,206,74
69,1273.4999999999998,192,0.9660800044319772,6304.678243001302,74,28
70,232.29999999999978,119,0.9655969644297613,8095.485484916623,59,8
71,3158.9000000000565,1000,0.9651141659475465,8547.50034008789,411,66
72,942.3999999999992,55,0.9646316088645728,12966.561572265626,23,21
73,1420.800000000005,210,0.9641492930601405,8285.762374441963,83,32
74,4465.3000000000475,969,0.9636672184136105,9623.913063513852,379,95
75,2666.0000000000105,253,0.9631853848044037,20907.954086122776,89,56
76,2185.800000000034,477,0.9627037921120016,9232.479305371298,166,47
77,241.09999999999985,59,0.9622224402159457,8693.526822364936,31,7
78,1717.6000000000045,234,0.9617413289958378,11757.233842898639,91,37
79,1987.1000000000154,456,0.9612604583313399,16287.471457498115,174,43
80,469.39999999999634,199,0.9607798281021742,10430.2439038454,108,12
81,99.10000000000002,8,0.9602994381881231,7295.448486328125,2,5
82,787.7999999999988,89,0.9598192884690291,11239.195169856039,35,18
83,2071.800000000005,208,0.9593393788247946,13872.801436204176,75,45
84,2228.1000000000213,515,0.9588597091353822,21265.639467346784,205,48
85,5709.300000000021,1000,0.9583802792808146,14291.134860839844,407,117
86,976.8000000000009,158,0.9579010891411742,26028.412106284613,76,22
87,1606.2999999999997,296,0.9574221385966036,39092.36682128906,142,35
88,5239.999999999991,774,0.9569434275273054,19106.541870432615,327,109
89,3773.000000000037,556,0.9564649558135419,19675.80779370644,216,79
90,979.299999999997,153,0.9559867233356352,27031.669357000614,56,22
91,345.29999999999967,38,0.9555087299739674,17855.8837890625,11,9
92,792.8999999999991,55,0.9550309756089804,16050.702716619318,18,18
93,1112.100000000004,607,0.954553460121176,23068.97777556116,273,26
94,2460.8000000000334,604,0.9540761833911156,20685.74718834075,289,53
95,1894.8000000000054,717,0.95359914529942,20262.650309585293,336,42
96,1600.2000000000025,347,0.9531223457267703,27696.415562522514,153,35
97,832.0999999999977,130,0.952645784553907,22051.574387770434,50,19
98,2271.8000000000047,210,0.9521694616616301,35581.60049758184,74,48
99,4559.600000000052,1000,0.9516933769307994,27923.274798828126,404,94
100,2121.5000000000255,569,0.951217530242334,22653.84581039241,217,46
101,1537.900000000012,453,0.9507419214772129,22223.354587041253,170,34
102,393.3999999999995,52,0.9502665505164744,80035.28209510216,15,10
103,694.2999999999995,43,0.9497914172412162,97575.46359465843,16,16
104,2089.3000000000043,420,0.9493165215325956,27290.38273809524,189,45
105,2918.1000000000427,564,0.9488418632718294,31848.091161416778,257,62
106,4857.20000000005,1000,0.9483674423401935,31806.87580566406,428,100
107,2351.000000000024,1000,0.9478932586190235,34790.668104003904,490,50
108,396.9999999999999,25,0.9474193119897141,26584.9725390625,6,10
