Episode,Score,Steps,Epsilon,Avg_Loss,Wall_Hits,Coins
1,324.8999999999997,162,0.9995,0,90,9
2,2060.5000000000036,304,0.9990002500000001,0,92,44
3,1184.6999999999991,116,0.9985007498750001,0,38,26
4,2790.5000000000196,426,0.9980014995000627,356.28799057006836,170,59
5,3711.7000000001035,1000,0.9975024987503127,261.30770929718017,383,77
6,-0.19999999999877113,1000,0.9970037475009376,111.30230382347106,502,3
7,2572.499999999993,860,0.9965052456271871,90.49330539925154,417,56
8,2003.2999999999984,323,0.9960069930043736,125.3821511991991,145,44
9,241.4999999999996,62,0.9955089895078715,209.75530316752773,25,7
10,1481.2,139,0.9950112350131176,245.7717986621445,50,32
11,247.49999999999994,20,0.9945137293956111,430.8252265930176,6,7
12,694.4999999999997,42,0.9940164725309134,532.2202984037854,15,16
13,1479.8999999999999,145,0.993519464294648,498.86578790072736,57,33
14,1225.8000000000002,177,0.9930227045625007,520.995433311678,67,27
15,193.39999999999998,48,0.9925261932102195,571.651470820109,19,7
16,-0.5999999999986909,1000,0.9920299301136144,469.0199633331299,506,3
17,2406.600000000016,306,0.9915339151485576,427.5628074945188,129,51
18,1659.4000000000058,292,0.9910381481909833,506.7078387639294,115,36
19,1715.200000000002,237,0.990542629116888,513.1258542990382,113,37
20,-0.29999999999874893,1000,0.9900473578023296,409.2006445159912,503,3
21,692.3999999999993,59,0.9895523341234285,512.9097701250497,19,16
22,2301.2000000000103,347,0.9890575579563669,574.9709724184415,142,49
23,3004.800000000032,682,0.9885630291773887,640.8895680491876,271,64
24,1315.200000000002,253,0.9880687476628001,607.5247856411538,97,29
25,798.4999999999916,339,0.9875747132889687,716.2560621953644,177,19
26,3902.2000000000685,701,0.9870809259323243,841.6321297725835,279,82
27,1790.7000000000075,435,0.9865873854693582,892.0728854826127,160,39
28,637.0999999999991,95,0.9860940917766235,975.8429488332648,36,15
29,2497.700000000023,695,0.9856010447307353,957.8103481155505,330,54
30,-0.09999999999863354,1000,0.98510824420837,796.1139474639892,501,3
31,531.3999999999983,128,0.9846156900862658,854.9055104255676,59,13
32,2020.499999999994,547,0.9841233822412228,994.6159050643336,249,45
33,2406.8000000000175,656,0.9836313205501022,1018.1170962961709,278,52
34,198.40000000000003,13,0.9831395048898272,759.4457045335037,5,6
35,2145.0000000000177,407,0.9826479351373822,1132.7191626246497,144,46
36,1342.999999999994,386,0.9821566111698136,1185.1118730139856,186,30
37,4761.399999999971,1000,0.9816655328642288,1195.693196472168,387,100
38,339.9000000000001,68,0.9811747000977967,1146.8383102416992,34,10
39,2302.8000000000065,337,0.9806841127477479,1367.2182525725323,137,49
40,2446.0000000000136,388,0.9801937706913741,1593.978281316069,154,52
41,1514.2000000000025,267,0.9797036738060285,1562.62567950188,93,33
42,933.0999999999976,126,0.9792138219691255,1494.2707744780041,44,21
43,933.3000000000006,451,0.978724215058141,1894.424123489143,217,22
44,242.89999999999992,48,0.978234852950612,1907.998462677002,25,7
45,2892.0000000000423,799,0.9777457355241367,1923.941619987631,282,62
46,2786.5000000000223,444,0.9772568626563747,1909.1185090348527,192,60
