Episode,Score,Steps,Epsilon,Avg_Loss,Wall_Hits,Coins
1,296.70000000000005,24,0.9995,0,11,8
2,-1.6999999999988151,1000,0.9990002500000001,52.1524268653399,517,3
3,1359.3000000000034,286,0.9985007498750001,66.03493517822214,123,30
4,388.1999999999998,81,0.9980014995000627,84.48775192543313,38,11
5,3462.700000000071,976,0.9975024987503127,105.82766844991778,398,74
6,1685.000000000005,441,0.9970037475009376,336.275175375733,211,37
7,934.5000000000007,115,0.9965052456271871,141.21207975304645,41,21
8,147.60000000000008,19,0.9960069930043736,227.23239336515726,6,5
9,1428.7,156,0.9955089895078715,205.01654360844537,58,31
10,492.4999999999998,58,0.9950112350131176,216.56449508666992,18,12
11,339.30000000000007,75,0.9945137293956111,292.60252990722654,34,9
12,1191.599999999993,401,0.9940164725309134,248.23560638617994,185,27
13,436.29999999999916,105,0.993519464294648,306.3666913713728,33,12
14,2454.6000000000713,651,0.9930227045625007,345.7134368708972,305,53
15,1259.1,278,0.9925261932102195,256.0757290407908,133,28
16,2342.200000000017,420,0.9920299301136144,341.1177757444836,159,50
17,1218.499999999999,230,0.9915339151485576,356.2605783877165,87,27
18,1648.200000000006,352,0.9910381481909833,374.15784029527146,167,36
19,2446.900000000014,728,0.990542629116888,410.8468502484835,304,53
20,1854.300000000003,322,0.9900473578023296,399.3414076100225,136,40
21,148.20000000000002,14,0.9895523341234285,661.858020237514,5,5
22,2204.2000000000085,311,0.9890575579563669,501.86137512795796,149,47
23,3806.4000000000797,1000,0.9885630291773887,410.4108035736084,436,79
24,1296.5999999999908,393,0.9880687476628001,386.7632986364777,143,29
25,4059.5000000000864,1000,0.9875747132889687,388.20044094848635,405,84
26,2603.200000000025,672,0.9870809259323243,394.63068791798185,298,56
27,541.6999999999994,62,0.9865873854693582,389.8579288605721,23,13
28,2859.200000000014,296,0.9860940917766235,463.84110430124645,113,61
29,396.4999999999986,351,0.9856010447307353,597.2352568797576,186,11
30,1144.100000000003,381,0.98510824420837,583.1899380421075,180,26
31,2664.4000000000096,258,0.9846156900862658,534.4328526341637,100,56
32,2753.900000000034,677,0.9841233822412228,549.0375503247034,285,59
33,2132.400000000022,466,0.9836313205501022,602.5247570250679,212,46
34,3188.30000000002,465,0.9831395048898272,655.4382144394741,154,67
35,5060.800000000036,1000,0.9826479351373822,594.5712008666992,392,104
36,195.1000000000002,35,0.9821566111698136,538.361754499163,15,7
37,194.5000000000001,35,0.9816655328642288,688.3952619280134,22,6
38,3603.200000000063,677,0.9811747000977967,836.0107929900266,292,77
39,243.99999999999983,47,0.9806841127477479,614.1196555279671,14,7
40,1.5000000000012683,1000,0.9801937706913741,908.5683462829589,485,3
41,329.19999999999993,142,0.9797036738060285,844.1091944734815,67,9
42,2503.800000000032,656,0.9792138219691255,703.53836238675,308,54
43,3604.400000000055,1000,0.978724215058141,763.9786214599609,456,75
44,922.0999999999958,210,0.978234852950612,771.9944424583798,71,21
45,199.0,9,0.9777457355241367,2591.247300889757,2,6
46,1378.2000000000012,148,0.9772568626563747,999.5674535390493,71,30
47,346.4999999999999,27,0.9767682342250465,1065.0383843315972,10,9
48,5763.099999999984,949,0.976279850107934,1087.7118914556956,421,121
49,2108.100000000002,308,0.9757917101828801,1142.2394529070173,112,46
50,2628.600000000017,517,0.9753038143277888,1042.299073446189,198,57
51,4054.9000000000906,1000,0.974816162420625,1051.4936547546388,451,84
52,2086.9000000000133,447,0.9743287543394147,1061.9494700591836,185,45
53,1510.9000000000046,283,0.973841589962245,1214.5220240940052,110,33
54,4909.899999999997,996,0.973354669167264,1035.2695526980972,407,103
55,247.60000000000002,18,0.9728679918326804,2434.2012295193144,8,7
56,3475.0000000000737,893,0.972381557836764,1072.0835127707692,358,75
57,4659.20000000002,1000,0.9718953670578457,1039.5958713989257,408,96
58,1245.4000000000085,721,0.9714094193743169,1019.7943721353264,326,30
59,443.5999999999998,46,0.9709237146646298,978.639296821926,19,12
60,1241.9999999999957,397,0.9704382528072976,1200.9871943014996,184,29
61,4756.700000000029,1000,0.9699530336808939,1213.136551513672,433,98
62,3475.400000000038,549,0.9694680571640535,1153.8627815732973,199,73
63,2309.7000000000094,315,0.9689833231354715,1171.2557184128534,89,50
64,2194.500000000012,397,0.9684988314739038,1164.772294666665,160,47
65,742.1999999999994,60,0.9680145820581669,1106.7192932128905,20,17
66,2542.0000000000123,415,0.9675305747671379,1288.1513804240399,166,55
67,840.3999999999988,71,0.9670468094797544,2208.2805725957305,27,19
68,1808.2000000000212,987,0.9665632860750146,1944.3479513460138,432,41
69,490.6999999999995,65,0.9660800044319772,1680.5507662259615,30,12
70,2424.600000000019,540,0.9655969644297613,1926.985546761972,215,53
71,1423.8000000000004,186,0.9651141659475465,2233.2933198662213,78,31
72,4054.9000000000524,665,0.9646316088645728,2022.1125859081296,288,85
73,1368.7999999999995,222,0.9641492930601405,2324.2875179256403,91,30
74,935.1999999999985,102,0.9636672184136105,1733.3177795410156,47,22
75,239.00000000000028,77,0.9631853848044037,2433.98205883472,34,8
76,1512.8000000000045,261,0.9627037921120016,2596.8426590842764,113,33
77,1479.4000000000017,154,0.9622224402159457,2629.6962688495587,53,32
78,1975.2000000000048,177,0.9617413289958378,2424.394657458289,73,42
79,444.0999999999999,46,0.9612604583313399,2093.900433084239,14,11
80,5196.20000000003,744,0.9607798281021742,2981.5100680935766,295,109
81,3308.200000000084,1000,0.9602994381881231,2567.6816459350584,418,69
82,241.79999999999995,61,0.9598192884690291,1896.2213014696465,22,7
83,3462.8000000000557,625,0.9593393788247946,3203.93098359375,248,73
84,5207.900000000038,1000,0.9588597091353822,2915.573673461914,421,107
85,2295.600000000021,390,0.9583802792808146,2789.614122283153,156,49
86,680.6999999999982,132,0.9579010891411742,3537.0951746160335,63,16
87,1418.5000000000011,235,0.9574221385966036,3419.920834025931,81,31
88,980.3999999999985,137,0.9569434275273054,2771.007040873061,61,22
89,988.1999999999994,85,0.9564649558135419,4802.640445484834,34,22
90,2515.7000000000285,576,0.9559867233356352,3829.7719537946914,269,54
91,2944.9000000000283,395,0.9555087299739674,3668.1689632367484,157,63
92,2906.500000000039,673,0.9550309756089804,3867.5690119886467,264,62
93,1771.5000000000157,565,0.954553460121176,3408.8185004580337,221,40
94,330.5999999999998,128,0.9540761833911156,3371.9644050598145,68,9
95,-0.6999999999987492,1000,0.95359914529942,3600.5312257080077,507,3
96,2201.7000000000085,343,0.9531223457267703,3815.30047998901,141,47
97,1603.2000000000069,332,0.952645784553907,3651.085001750165,138,35
98,1417.7000000000144,604,0.9521694616616301,4155.23506942648,221,32
99,787.6999999999978,95,0.9516933769307994,3840.6546682257404,29,18
100,437.5999999999992,89,0.951217530242334,4846.388920130355,36,11
101,2912.7000000000276,624,0.9507419214772129,5234.658532167093,250,62
102,1383.400000000001,119,0.9502665505164744,5305.731047301733,49,30
103,689.2999999999985,78,0.9497914172412162,5590.430878468049,31,16
104,3855.2000000000585,1000,0.9493165215325956,5758.343420654297,448,80
105,640.399999999999,65,0.9488418632718294,4637.520590444711,32,16
106,1732.0000000000114,814,0.9483674423401935,5417.450751377265,368,39
107,2677.1000000000427,538,0.9478932586190235,6365.211399461257,192,58
108,3457.0000000000646,1000,0.9474193119897141,5299.780646850586,430,72
109,814.7999999999943,238,0.9469456023337193,5487.532205533581,115,19
110,3332.700000000025,491,0.9464721295325524,5271.084201665129,183,70
111,185.79999999999973,105,0.9459988934677862,5313.689368257068,38,6
