Episode,Score,Steps,Epsilon,Avg_Loss,Wall_Hits,Coins
1,4305.200000000075,1000,0.9995,242.98808513543545,448,89
2,99.00000000000003,8,0.9990002500000001,180.03702545166016,3,5
3,1411.8999999999899,603,0.9985007498750001,203.32817623315267,280,32
4,3955.0000000000873,1000,0.9980014995000627,190.2285981826782,450,82
5,1321.5999999999997,195,0.9975024987503127,189.68185923050862,91,29
6,2095.500000000013,411,0.9970037475009376,200.25010784852853,135,45
7,2946.4000000000174,385,0.9965052456271871,215.92164627547118,153,62
8,1623.8999999999999,180,0.9960069930043736,242.2407699584961,83,35
9,1331.3000000000015,135,0.9955089895078715,264.05949648688824,53,30
10,4458.900000000037,1000,0.9950112350131176,254.68008712768554,411,92
11,969.9999999999952,213,0.9945137293956111,233.55071569372106,88,22
12,3182.600000000032,478,0.9940164725309134,258.4143755594889,197,67
13,787.3999999999986,85,0.993519464294648,293.9800241643732,42,18
14,2570.800000000017,547,0.9930227045625007,277.026227742216,247,55
15,0.6000000000014001,1000,0.9925261932102195,263.0536455688476,494,3
16,408.69999999999834,275,0.9920299301136144,222.65194315150165,139,11
17,1772.600000000002,205,0.9915339151485576,277.08126537616437,70,38
18,3611.40000000008,1000,0.9910381481909833,266.41009791564943,386,75
19,980.6999999999969,139,0.990542629116888,248.39076407296318,56,22
20,3074.500000000032,534,0.9900473578023296,284.1725759933244,223,65
21,293.69999999999965,50,0.9895523341234285,235.63518465482272,14,8
22,1566.300000000001,239,0.9890575579563669,291.82479197184244,99,34
23,3751.6000000000386,686,0.9885630291773887,298.3968404281971,300,79
24,1959.6000000000054,289,0.9880687476628001,325.0445464669842,116,42
25,2759.6000000000436,672,0.9875747132889687,306.13614709036693,234,59
26,1978.7000000000062,481,0.9870809259323243,385.10259744943664,234,43
27,579.5999999999967,141,0.9865873854693582,552.7367066277397,64,14
28,5556.400000000012,1000,0.9860940917766235,326.5387002258301,436,114
29,4446.800000000048,728,0.9856010447307353,343.0064454969469,305,94
30,3707.7000000000858,1000,0.98510824420837,316.82755921936035,423,77
31,2178.3999999999987,484,0.9846156900862658,316.4481616690139,234,47
32,1650.9000000000028,368,0.9841233822412228,308.6375627932341,125,36
33,1962.9000000000087,260,0.9836313205501022,319.14786412165716,112,42
34,1948.000000000009,380,0.9831395048898272,388.9054838481702,141,42
35,544.3999999999997,41,0.9826479351373822,669.6472653475674,16,14
36,2998.6000000000513,746,0.9821566111698136,378.2109696087353,270,64
37,1260.9000000000062,290,0.9816655328642288,370.44707771196755,103,28
38,649.8999999999926,325,0.9811747000977967,402.81870744286516,177,16
39,393.2999999999999,48,0.9806841127477479,555.092342376709,21,10
40,3861.100000000037,630,0.9801937706913741,375.6699028980883,261,81
41,1968.800000000023,592,0.9797036738060285,426.5662105921152,222,43
42,339.79999999999944,75,0.9792138219691255,502.8810657701994,29,9
43,49.30000000000001,6,0.978724215058141,514.5581359863281,2,4
44,872.7999999999964,187,0.978234852950612,363.38362543633644,86,21
45,633.7999999999985,111,0.9777457355241367,939.0408014569964,52,15
46,1428.30000000001,511,0.9772568626563747,412.44314807653427,207,32
47,582.099999999998,119,0.9767682342250465,364.52109781901044,62,14
48,5763.500000000008,980,0.976279850107934,483.76747115777465,386,120
49,0.7000000000012178,1000,0.9757917101828801,408.39559283447267,493,3
50,2819.9000000000196,579,0.9753038143277888,387.7860152145912,223,60
51,99.30000000000001,7,0.974816162420625,876.9016418457031,1,5
52,4314.300000000045,595,0.9743287543394147,465.58344089584864,263,91
53,781.8999999999971,137,0.973841589962245,353.109073311942,46,18
54,2261.2000000000135,287,0.973354669167264,357.97795910305445,102,48
55,385.79999999999893,107,0.9728679918326804,364.4044545491536,36,10
56,967.0999999999942,247,0.972381557836764,549.6725043019941,83,23
57,3005.40000000004,649,0.9718953670578457,623.7971637468396,299,64
58,658.5999999999965,285,0.9714094193743169,594.5197641584608,130,16
59,5806.600000000008,1000,0.9709237146646298,603.9413805236817,434,119
60,1982.1000000000245,496,0.9704382528072976,545.2328366310365,184,43
61,1547.1000000000174,721,0.9699530336808939,483.34445181999416,310,35
62,731.4999999999967,137,0.9694680571640535,400.64879019601005,49,17
63,5608.300000000015,1000,0.9689833231354715,684.8259019927979,417,115
64,2625.100000000016,546,0.9684988314739038,478.82820491373104,204,57
65,3130.2000000000594,882,0.9680145820581669,504.6729642773106,318,67
66,524.0999999999987,176,0.9675305747671379,569.0385015661067,85,13
67,884.2999999999976,109,0.9670468094797544,377.6114698137556,50,20
68,628.3999999999993,148,0.9665632860750146,577.6827388454128,70,15
69,1473.3999999999976,203,0.9660800044319772,410.18137748568665,65,32
70,3939.3000000000616,780,0.9655969644297613,685.716723828438,329,83
71,4606.200000000031,681,0.9651141659475465,509.41876604403666,259,96
72,616.7999999999993,223,0.9646316088645728,391.6304250444685,110,16
73,784.7999999999977,106,0.9641492930601405,550.8688518382885,48,18
74,2224.9000000000037,190,0.9636672184136105,702.967661857605,63,47
75,491.4999999999993,57,0.9631853848044037,910.9318664550781,29,12
76,834.6999999999986,111,0.9627037921120016,641.5100599016462,44,19
77,685.9999999999981,96,0.9622224402159457,721.2430508931478,46,16
78,1628.7000000000014,152,0.9617413289958378,922.6283047324732,63,35
79,2447.2000000000144,373,0.9612604583313399,697.7851048733326,156,53
80,1384.2,112,0.9607798281021742,680.1335487365723,47,31
81,438.59999999999957,82,0.9602994381881231,398.3046664283389,33,11
82,445.89999999999986,31,0.9598192884690291,811.752477645874,12,11
83,2700.8000000000475,705,0.9593393788247946,704.7295999904137,289,58
84,1985.0000000000064,456,0.9588597091353822,644.1993192706192,195,43
85,5709.699999999962,1000,0.9583802792808146,791.6407791137696,403,117
86,4207.700000000058,1000,0.9579010891411742,703.7387516174316,423,87
87,3301.100000000039,721,0.9574221385966036,554.6095011168422,269,70
88,972.0999999999979,185,0.9569434275273054,843.2420498462434,96,22
89,2906.7000000000958,1000,0.9564649558135419,766.7200085144043,433,61
90,344.6,39,0.9559867233356352,368.8129821777344,17,9
91,2917.300000000056,587,0.9555087299739674,604.6562049502418,242,62
92,2142.2000000000103,405,0.9550309756089804,526.2512950523227,174,46
93,2134.4000000000196,455,0.954553460121176,835.936456446062,202,47
94,3917.200000000057,595,0.9540761833911156,623.3477314174576,234,83
95,965.8000000000009,246,0.95359914529942,866.1010685582315,97,22
96,1.2000000000012454,1000,0.9531223457267703,756.8898519897461,488,3
97,194.1000000000002,41,0.952645784553907,1304.024271184748,19,7
98,2268.3000000000284,571,0.9521694616616301,859.9137911496463,248,49
99,2746.200000000064,719,0.9516933769307994,645.1411735110813,321,59
100,242.30000000000007,52,0.951217530242334,235.6433369563176,26,7
101,4454.2000000000635,998,0.9507419214772129,571.5548416442871,462,94
102,2105.9000000000065,312,0.9502665505164744,537.6878945766351,130,45
103,1233.4999999999995,121,0.9497914172412162,398.6657970797631,45,27
104,2256.0000000000164,324,0.9493165215325956,326.37734938256534,118,48
105,2538.8000000000243,433,0.9488418632718294,651.9370750637229,180,54
106,1369.0000000000014,230,0.9483674423401935,550.6915373966611,81,30
107,48.30000000000001,11,0.9478932586190235,2777.5247599283853,8,3
108,2912.1000000000163,616,0.9474193119897141,479.45037930971614,264,62
109,2651.0000000000164,349,0.9469456023337193,406.2595470601862,143,56
110,2154.1000000000104,326,0.9464721295325524,672.4117515377882,135,46
111,1905.9000000000035,311,0.9459988934677862,784.6567860138722,131,41
112,1964.0000000000032,244,0.9455258940210524,632.6492176993949,117,42
113,5759.199999999993,1000,0.9450531310740419,667.8041716918946,408,118
114,3560.3000000000525,633,0.9445806045085049,680.6463409999632,266,75
115,2056.600000000005,313,0.9441083142062507,602.2683312138424,122,44
116,3964.900000000053,628,0.9436362600491477,663.1969196295282,224,83
117,542.5999999999997,55,0.9431644419191232,617.319817679269,20,14
118,5461.299999999989,1000,0.9426928596981636,643.3235707397461,387,112
119,4746.000000000035,746,0.9422215132683146,586.7999479324423,295,99
120,3859.5000000000555,1000,0.9417504025116805,570.2641040649414,405,80
121,1034.099999999999,118,0.9412795273104247,743.5655685424805,42,23
122,533.8999999999979,113,0.9408088875467696,448.2990275415881,49,14
123,1420.2000000000003,208,0.9403384831029963,701.7358471797063,92,31
124,392.79999999999995,53,0.9398683138614449,895.0672400338309,20,11
125,4432.400000000049,828,0.9393983797045142,598.0790562284166,349,93
126,875.6999999999964,172,0.938928680514662,939.1056866313136,72,21
127,3541.9000000000756,780,0.9384592161744048,783.563223070976,303,75
128,197.00000000000006,20,0.9379899865663176,349.47666015625,11,7
129,247.80000000000007,18,0.9375209915730345,288.88544311523435,6,7
130,1823.2000000000094,546,0.937052231077248,994.4796710606039,223,40
131,1034.4999999999982,116,0.9365837049617094,934.2086397368332,41,23
132,3204.900000000036,1000,0.9361154131092286,901.8076805419922,451,67
133,901.59999999999,331,0.9356473554026741,601.8507373304252,154,21
134,2065.4999999999973,573,0.9351795317249728,682.1020336680942,273,45
135,2103.700000000003,313,0.9347119419591103,1146.8142176760903,151,45
136,3824.100000000074,883,0.9342445859881309,968.7393833005051,377,81
137,643.6999999999996,50,0.9337774636951368,822.2181208683894,15,15
138,642.799999999999,57,0.9333105749632893,458.6878682454427,17,15
139,932.899999999998,129,0.9328439196758077,494.5019452644117,43,21
140,2148.200000000014,371,0.9323774977159699,907.4475975446803,148,46
141,1504.6000000000029,324,0.9319113089671119,873.4255197784047,132,33
142,789.3999999999988,77,0.9314453533126285,931.385213470459,31,18
143,295.2999999999999,37,0.9309796306359722,381.12001953125,12,8
144,5156.699999999986,1000,0.9305141408206543,1010.0480015258789,433,106
145,1426.5000000000005,170,0.9300488837502441,566.8086029762445,66,31
146,1576.4000000000024,171,0.9295838593083691,1478.9076836164606,67,34
147,2748.200000000062,730,0.929119067378715,1225.5220227267573,290,59
148,858.3999999999938,292,0.9286545078450257,1158.2092981207861,125,20
149,2132.6000000000017,466,0.9281901805911033,1383.1539190569495,210,46
150,3839.2000000000717,779,0.9277260855008077,1157.7602657220302,330,81
151,1716.1000000000033,231,0.9272622224580573,582.2455386457772,109,37
152,2383.5000000000296,478,0.9267985913468284,768.242204284668,188,51
153,638.1999999999996,85,0.926335192051155,1445.2167074030097,34,15
154,3834.7000000000694,800,0.9258720244551295,853.3962976455689,354,81
155,644.4999999999999,41,0.925409088442902,861.6644647771662,15,16
156,729.9999999999975,143,0.9249463838986807,864.8868183559841,58,17
157,1385.1000000000004,105,0.9244839107067314,1081.7654916268807,46,30
158,1482.3000000000009,134,0.9240216687513781,1218.2877865959617,44,33
159,1019.6999999999944,230,0.9235596579170025,991.6988651670258,74,23
160,2107.9000000000037,288,0.923097878088044,1169.2596486409504,134,45
161,1876.8000000000006,175,0.9226363291490001,602.2820757085627,58,40
162,984.400000000003,429,0.9221750109844257,1251.5730138708043,228,23
163,2706.0000000000605,646,0.9217139234789336,1356.3670133425865,295,58
164,1286.7999999999997,100,0.9212530665171942,1098.1845727539062,33,28
165,3859.9000000000706,1000,0.9207924399839357,947.3425739746094,401,80
166,1556.200000000004,324,0.9203320437639437,908.1151610951365,115,34
167,838.8999999999983,75,0.9198718777420618,1682.8648135536596,37,19
168,2842.100000000022,413,0.9194119418031909,904.1097274193397,167,60
169,1128.8999999999994,150,0.9189522358322894,925.1654659070467,62,26
170,939.2000000000007,86,0.9184927597143733,1306.8556248057973,23,21
171,730.0999999999967,135,0.9180335133345161,934.811138826258,66,17
172,397.09999999999985,24,0.917574496577849,277.46985626220703,6,10
173,1.3120338149263944e-12,1000,0.9171157093295601,848.1129692077636,500,3
174,1171.1000000000013,215,0.9166571514748953,1257.1135971634476,75,26
175,1127.1000000000001,156,0.916198822899158,1015.5802029340695,74,26
176,2843.4000000000196,402,0.9157407234877085,816.128259111159,165,61
177,1168.4000000000012,214,0.9152828531259647,1311.4543499416775,103,27
178,1710.5000000000014,273,0.9148252116994018,980.8749370851378,123,38
179,2014.5000000000027,257,0.9143677990935521,1489.8438307542067,99,44
180,773.7999999999971,174,0.9139106151940054,975.0039662447842,90,18
181,1820.000000000003,216,0.9134536598864085,1015.967372753002,86,39
182,1616.800000000002,238,0.9129969330564653,933.8722557067871,95,36
183,1472.5999999999997,204,0.9125404345899372,949.9139290603937,71,33
184,2926.900000000026,523,0.9120841643726423,1172.965635226883,209,63
185,1080.6000000000001,141,0.911628122290456,1711.4996053907607,55,24
186,1509.5000000000011,296,0.9111723082293108,1298.7514716483452,110,34
187,2155.1000000000163,315,0.9107167220751963,1405.7488353101512,135,46
188,296.99999999999994,23,0.9102613637141588,1015.0318094889323,8,9
189,3655.400000000063,706,0.9098062330323018,1351.8797926390912,242,77
190,2840.2000000000203,440,0.9093513299157857,1140.875064641779,159,61
191,2253.3000000000134,328,0.9088966542508279,1941.2317934734065,140,48
192,883.2999999999989,115,0.9084422059237025,1633.296296218346,54,20
193,742.4999999999994,55,0.9079879848207407,630.738531930106,22,17
194,4520.5000000000155,556,0.9075339908283304,1292.7219450147888,240,94
195,791.6999999999994,61,0.9070802238329163,1707.4721584320068,23,18
196,2294.0000000000155,383,0.9066266837209999,1536.8359891573589,179,49
197,3564.2000000000476,617,0.9061733703791394,1061.7645786408455,242,76
198,2994.4000000000256,398,0.9057202836939499,1274.158116760254,160,63
199,2838.8000000000325,453,0.9052674235521029,1200.4766205904778,160,60
200,819.5999999999955,229,0.9048147898403269,1298.238125242036,77,19
201,2066.4000000000015,248,0.9043623824454068,1669.0023776638893,89,44
202,191.19999999999982,64,0.9039102012541841,2473.800024032593,25,6
203,1497.1000000000095,386,0.9034582461535571,920.7246343868295,144,33
204,0.5000000000012824,1000,0.9030065170304803,1346.9479916992188,495,3
205,2022.5000000000023,202,0.9025550137719651,1139.596191705442,74,44
206,684.8999999999977,115,0.9021037362650792,914.8335644952182,37,17
207,542.7999999999987,52,0.9016526843969468,951.9709132267878,22,13
208,1618.8000000000047,225,0.9012018580547484,886.0344410946494,88,36
209,4807.100000000012,1000,0.900751257125721,1491.334248413086,429,99
210,841.2999999999994,63,0.9003008814971583,1572.9863662719727,26,19
211,2597.2000000000075,391,0.8998507310564098,1175.2463676296934,139,55
212,4153.200000000014,742,0.8994008056908817,933.0900249686292,228,87
213,495.69999999999993,33,0.8989511052880362,288.7054189046224,11,13
214,1892.1000000000001,420,0.8985016297353923,839.8720650809151,160,41
215,973.6999999999994,188,0.8980523789205246,1012.5751073309716,77,22
216,3657.5000000000605,1000,0.8976033527310644,1232.6969864196778,425,76
217,2013.5000000000018,258,0.8971545510546989,1300.1237994854266,108,43
218,2114.0000000000073,271,0.8967059737791716,772.0477956884048,91,45
219,2198.300000000006,392,0.8962576207922821,715.5444391990195,126,47
220,3833.100000000055,826,0.895809491981886,1134.7064255424168,344,82
