Episode,Score,Steps,Epsilon,Avg_Loss,Wall_Hits,Coins
1,1237.8000000000006,97,0.9995,702.2974243164062,26,27
2,486.79999999999905,94,0.9990002500000001,633.2515983581543,40,12
3,5005.700000000051,1000,0.9985007498750001,370.7308249206543,443,103
4,1223.5000000000016,195,0.9980014995000627,277.0937493771923,71,27
5,2395.1000000000713,767,0.9975024987503127,273.68065559864044,284,52
6,3284.2000000000344,483,0.9970037475009376,241.48690934614703,177,69
7,2691.3000000000166,407,0.9965052456271871,273.4153932309618,181,57
8,2978.1000000000795,870,0.9960069930043736,262.54119484577706,350,65
9,2935.300000000067,813,0.9955089895078715,284.8321442323572,335,63
10,2139.000000000017,438,0.9950112350131176,271.41286135586824,173,46
11,2266.1000000000513,587,0.9945137293956111,271.36700652245764,254,49
12,541.3999999999984,71,0.9940164725309134,261.94185045030383,16,13
13,688.4999999999994,78,0.993519464294648,275.16448402404785,38,16
14,1221.2000000000032,211,0.9930227045625007,336.61487881642466,78,27
15,782.5999999999981,126,0.9925261932102195,301.316654920578,49,18
16,1743.1000000000079,408,0.9920299301136144,304.9133992662617,162,38
17,1326.3999999999987,165,0.9915339151485576,354.8114845639183,72,29
18,1225.4000000000015,184,0.9910381481909833,345.2811803403108,63,27
19,1941.4000000000096,441,0.990542629116888,342.7727252857105,147,42
20,635.1999999999983,102,0.9900473578023296,413.55110696645886,48,15
21,2060.800000000003,281,0.9895523341234285,393.604585244622,113,44
22,2458.000000000023,644,0.9890575579563669,385.39539313464434,278,53
23,4157.400000000061,989,0.9885630291773887,381.9509280727756,438,89
24,1756.1999999999962,297,0.9880687476628001,328.01687286376955,142,38
25,734.8999999999976,104,0.9875747132889687,291.43625112680286,48,17
26,2960.700000000064,1000,0.9870809259323243,406.78108599853516,393,62
27,1551.400000000001,332,0.9865873854693582,351.024128833449,155,35
28,2673.5000000000614,864,0.9860940917766235,311.266701998534,403,58
29,974.3999999999978,173,0.9856010447307353,384.5377339449796,85,22
30,1691.7999999999963,424,0.98510824420837,356.70093046944095,160,37
31,1076.9999999999984,160,0.9846156900862658,345.69723377227785,72,24
32,1864.3000000000088,586,0.9841233822412228,358.93560798800723,272,41
33,195.90000000000003,27,0.9836313205501022,227.1204833984375,15,6
34,1218.3999999999965,215,0.9831395048898272,305.4232738636158,102,27
35,535.8999999999979,110,0.9826479351373822,524.5053122384207,33,13
36,2624.2000000000157,533,0.9821566111698136,372.3061964689796,226,57
37,1857.700000000008,309,0.9816655328642288,446.36125095073993,116,40
38,673.2999999999982,177,0.9811747000977967,316.6667219373915,92,16
39,3580.900000000077,845,0.9806841127477479,368.97432237301234,347,77
40,730.3999999999986,134,0.9801937706913741,435.79494655833525,64,17
41,0.40000000000134095,1000,0.9797036738060285,419.3805846557617,496,3
42,1312.1000000000033,274,0.9792138219691255,465.47599151169044,107,29
